episode,timestep,reward,steps
1,25,-1.24,25
2,40,-1.14,15
3,48,-1.07,8
4,53,-1.04,5
5,66,-1.12,13
6,71,-1.04,5
7,84,-1.12,13
8,90,-1.05,6
9,93,-1.02,3
10,110,-1.16,17
11,144,-1.33,34
12,158,-1.13,14
13,165,-1.06,7
14,196,-1.3,31
15,203,-1.06,7
16,208,-1.04,5
17,211,-1.02,3
18,235,-1.23,24
19,250,-1.14,15
20,266,-1.15,16
21,278,-1.11,12
22,290,-1.11,12
23,296,-1.05,6
24,302,-1.05,6
25,326,-1.23,24
26,340,-1.13,14
27,343,-1.02,3
28,352,-1.08,9
29,361,-1.08,9
30,372,-1.1,11
31,380,-1.07,8
32,388,-1.07,8
33,407,-1.18,19
34,410,-1.02,3
35,437,-1.26,27
36,451,-1.13,14
37,461,-1.09,10
38,489,-1.27,28
39,496,-1.06,7
40,504,-1.07,8
41,513,-1.08,9
42,519,-1.05,6
43,550,-1.3,31
44,569,-1.18,19
45,575,-1.05,6
46,593,-1.17,18
47,601,-1.07,8
48,616,-1.14,15
49,628,-1.11,12
50,631,-1.02,3
51,658,-1.26,27
52,663,-1.04,5
53,670,-1.06,7
54,711,-1.4,41
55,714,-1.02,3
56,720,-1.05,6
57,740,-1.19,20
58,754,-1.13,14
59,759,-1.04,5
60,766,-1.06,7
61,791,-1.24,25
62,804,-1.12,13
63,808,-1.03,4
64,825,-1.16,17
65,848,-1.22,23
66,866,-1.17,18
67,916,-0.5,50
68,955,-1.38,39
69,980,-1.24,25
70,996,-1.15,16
71,1007,-1.1,11
72,1011,-1.03,4
73,1021,-1.09,10
74,1071,-0.5,50
75,1085,-1.13,14
76,1099,-1.13,14
77,1119,-1.19,20
78,1124,-1.04,5
79,1130,-1.05,6
80,1144,-1.13,14
81,1156,-1.11,12
82,1163,-1.06,7
83,1169,-1.05,6
84,1185,-1.15,16
85,1202,-1.16,17
86,1216,-1.13,14
87,1240,-1.23,24
88,1247,-1.06,7
89,1280,-1.32,33
90,1285,-1.04,5
91,1299,-1.13,14
92,1316,-1.16,17
93,1351,-1.34,35
94,1354,-1.02,3
95,1404,-0.5,50
96,1409,-1.04,5
97,1421,-1.11,12
98,1439,-1.17,18
99,1489,-0.5,50
100,1496,-1.06,7
101,1533,-1.36,37
102,1544,-1.1,11
103,1557,-1.12,13
104,1580,-1.22,23
105,1592,-1.11,12
106,1599,-1.06,7
107,1624,-1.24,25
108,1646,-1.21,22
109,1683,-1.36,37
110,1719,-1.35,36
111,1745,-1.25,26
112,1795,-0.5,50
113,1811,-1.15,16
114,1831,-1.19,20
115,1844,-1.12,13
116,1876,-1.31,32
117,1896,-1.19,20
118,1907,-1.1,11
119,1923,-1.15,16
120,1936,-1.12,13
121,1947,-1.1,11
122,1994,-1.46,47
123,2002,-1.07,8
124,2030,-1.27,28
125,2047,-1.16,17
126,2072,-1.24,25
127,2118,-1.45,46
128,2126,-1.07,8
129,2132,-1.05,6
130,2146,-1.13,14
131,2154,-1.07,8
132,2162,-1.07,8
133,2166,-1.03,4
134,2171,-1.04,5
135,2192,-1.2,21
136,2210,-1.17,18
137,2260,-0.5,50
138,2297,-1.36,37
139,2308,-1.1,11
140,2349,0.6,41
141,2373,-1.23,24
142,2394,-1.2,21
143,2404,-1.09,10
144,2414,-1.09,10
145,2420,-1.05,6
146,2423,-1.02,3
147,2438,-1.14,15
148,2457,-1.18,19
149,2487,-1.29,30
150,2494,-1.06,7
151,2498,-1.03,4
152,2512,-1.13,14
153,2526,-1.13,14
154,2553,-1.26,27
155,2576,0.78,23
156,2595,-1.18,19
157,2610,-1.14,15
158,2617,-1.06,7
159,2624,-1.06,7
160,2637,-1.12,13
161,2640,-1.02,3
162,2652,-1.11,12
163,2674,-1.21,22
164,2713,-1.38,39
165,2717,-1.03,4
166,2754,-1.36,37
167,2804,0.51,50
168,2837,0.68,33
169,2844,-1.06,7
170,2887,0.58,43
171,2906,0.82,19
172,2909,-1.02,3
173,2912,-1.02,3
174,2916,-1.03,4
175,2933,-1.16,17
176,2938,-1.04,5
177,2952,0.87,14
178,2955,-1.02,3
179,2970,-1.14,15
180,2993,-1.22,23
181,3043,-0.5,50
182,3063,-1.19,20
183,3097,-1.33,34
184,3130,-1.32,33
185,3157,-1.26,27
186,3207,-0.5,50
187,3212,-1.04,5
188,3226,-1.13,14
189,3276,-0.5,50
190,3294,-1.17,18
191,3301,-1.06,7
192,3306,-1.04,5
193,3314,-1.07,8
194,3348,-1.33,34
195,3370,-1.21,22
196,3399,0.72,29
197,3439,-1.39,40
198,3461,0.79,22
199,3481,-1.19,20
200,3526,-1.44,45
201,3539,-1.12,13
202,3589,-0.5,50
203,3592,-1.02,3
204,3595,-1.02,3
205,3603,-1.07,8
206,3630,0.74,27
207,3648,-1.17,18
208,3661,-1.12,13
209,3675,-1.13,14
210,3683,-1.07,8
211,3700,-1.16,17
212,3708,-1.07,8
213,3755,0.54,47
214,3805,-0.5,50
215,3820,0.86,15
216,3824,-1.03,4
217,3839,-1.14,15
218,3850,-1.1,11
219,3884,-1.33,34
220,3900,-1.15,16
221,3905,-1.04,5
222,3927,0.79,22
223,3938,-1.1,11
224,3953,-1.14,15
225,3957,-1.03,4
226,3990,0.68,33
227,4017,0.74,27
228,4035,-1.17,18
229,4052,-1.16,17
230,4060,0.93,8
231,4068,-1.07,8
232,4075,-1.06,7
233,4078,-1.02,3
234,4091,0.88,13
235,4121,0.71,30
236,4139,0.83,18
237,4161,-1.21,22
238,4169,-1.07,8
239,4198,0.72,29
240,4204,-1.05,6
241,4228,0.77,24
242,4274,0.55,46
243,4302,-1.27,28
244,4337,-1.34,35
245,4351,-1.13,14
246,4367,-1.15,16
247,4371,-1.03,4
248,4377,-1.05,6
249,4407,-1.29,30
250,4413,-1.05,6
251,4431,-1.17,18
252,4435,-1.03,4
253,4449,-1.13,14
254,4456,-1.06,7
255,4466,-1.09,10
256,4481,-1.14,15
257,4515,0.67,34
258,4565,-0.5,50
259,4568,-1.02,3
260,4578,-1.09,10
261,4583,-1.04,5
262,4616,-1.32,33
263,4634,-1.17,18
264,4642,-1.07,8
265,4676,-1.33,34
266,4683,-1.06,7
267,4704,-1.2,21
268,4734,0.71,30
269,4737,-1.02,3
270,4748,-1.1,11
271,4761,-1.12,13
272,4811,-0.5,50
273,4861,-1.49,50
274,4905,-1.43,44
275,4939,-1.33,34
276,4959,0.81,20
277,4997,0.63,38
278,5028,-1.3,31
279,5045,-1.16,17
280,5049,-1.03,4
281,5053,-1.03,4
282,5062,0.92,9
283,5076,-1.13,14
284,5081,-1.04,5
285,5104,-1.22,23
286,5125,-1.2,21
287,5160,0.66,35
288,5210,-0.5,50
289,5213,-1.02,3
290,5233,-1.19,20
291,5238,-1.04,5
292,5255,0.84,17
293,5289,-1.33,34
294,5298,-1.08,9
295,5302,-1.03,4
296,5313,-1.1,11
297,5363,-0.5,50
298,5370,-1.06,7
299,5375,-1.04,5
300,5378,-1.02,3
301,5391,0.88,13
302,5403,-1.11,12
303,5453,-0.5,50
304,5503,-0.5,50
305,5506,-1.02,3
306,5517,0.9,11
307,5525,-1.07,8
308,5528,-1.02,3
309,5546,0.83,18
310,5552,-1.05,6
311,5562,-1.09,10
312,5567,-1.04,5
313,5585,-1.17,18
314,5589,-1.03,4
315,5613,-1.23,24
316,5646,0.68,33
317,5668,-1.21,22
318,5676,-1.07,8
319,5680,-1.03,4
320,5683,-1.02,3
321,5686,-1.02,3
322,5700,-1.13,14
323,5715,0.86,15
324,5736,0.8,21
325,5739,-1.02,3
326,5744,-1.04,5
327,5758,-1.13,14
328,5781,-1.22,23
329,5798,0.84,17
330,5802,-1.03,4
331,5805,-1.02,3
332,5811,-1.05,6
333,5815,-1.03,4
334,5818,-1.02,3
335,5833,-1.14,15
336,5838,-1.04,5
337,5843,-1.04,5
338,5849,-1.05,6
339,5865,0.85,16
340,5898,0.68,33
341,5948,-0.5,50
342,5975,-1.26,27
343,6011,-1.35,36
344,6061,-0.5,50
345,6071,-1.09,10
346,6075,-1.03,4
347,6087,-1.11,12
348,6093,-1.05,6
349,6143,-0.5,50
350,6175,0.69,32
351,6225,-0.5,50
352,6275,-0.5,50
353,6325,-0.5,50
354,6375,-0.5,50
355,6425,-0.5,50
356,6445,-1.19,20
357,6495,-0.5,50
358,6545,-0.5,50
359,6548,-1.02,3
360,6598,-0.5,50
361,6618,0.81,20
362,6651,0.68,33
363,6701,-0.5,50
364,6711,-1.09,10
365,6761,-0.5,50
366,6784,-1.22,23
367,6791,-1.06,7
368,6803,-1.11,12
369,6820,-1.16,17
370,6870,-0.5,50
371,6920,-0.5,50
372,6925,-1.04,5
373,6975,-0.5,50
374,6980,-1.04,5
375,6985,-1.04,5
376,6998,-1.12,13
377,7012,-1.13,14
378,7045,0.68,33
379,7095,-0.5,50
380,7132,-1.36,37
381,7143,-1.1,11
382,7155,-1.11,12
383,7205,-0.5,50
384,7255,-0.5,50
385,7273,-1.17,18
386,7282,-1.08,9
387,7332,-0.5,50
388,7382,-0.5,50
389,7401,-1.18,19
390,7409,-1.07,8
391,7448,0.62,39
392,7498,-0.5,50
393,7537,0.62,39
394,7579,-1.41,42
395,7600,-1.2,21
396,7650,-0.5,50
397,7700,-0.5,50
398,7750,-0.5,50
399,7800,-0.5,50
400,7821,-1.2,21
401,7871,-0.5,50
402,7921,-0.5,50
403,7971,-0.5,50
404,8021,-0.5,50
405,8070,-1.48,49
