episode,timestep,reward,steps
1,5,-1.04,5
2,10,-1.04,5
3,21,-1.1,11
4,59,-1.37,38
5,74,-1.14,15
6,79,-1.04,5
7,91,-1.11,12
8,95,-1.03,4
9,109,-1.13,14
10,116,-1.06,7
11,146,-1.29,30
12,167,-1.2,21
13,178,-1.1,11
14,185,-1.06,7
15,192,-1.06,7
16,213,-1.2,21
17,218,-1.04,5
18,237,-1.18,19
19,251,-1.13,14
20,260,-1.08,9
21,273,-1.12,13
22,297,-1.23,24
23,308,-1.1,11
24,325,-1.16,17
25,335,-1.09,10
26,346,-1.1,11
27,354,-1.07,8
28,385,-1.3,31
29,404,-1.18,19
30,427,-1.22,23
31,432,-1.04,5
32,440,-1.07,8
33,469,-1.28,29
34,480,-1.1,11
35,487,-1.06,7
36,500,-1.12,13
37,523,-1.22,23
38,563,-1.39,40
39,613,-0.5,50
40,643,-1.29,30
41,662,-1.18,19
42,712,-0.5,50
43,762,-0.5,50
44,812,-0.5,50
45,862,-0.5,50
46,912,-0.5,50
47,962,-0.5,50
48,1012,-0.5,50
49,1062,-0.5,50
50,1112,-0.5,50
51,1162,-0.5,50
52,1212,-0.5,50
53,1262,-0.5,50
54,1312,-0.5,50
55,1362,-0.5,50
56,1412,-0.5,50
57,1462,-0.5,50
58,1512,-0.5,50
59,1562,-0.5,50
60,1612,-0.5,50
61,1662,-0.5,50
62,1712,-0.5,50
63,1762,-0.5,50
64,1812,-0.5,50
65,1862,-0.5,50
66,1912,-0.5,50
67,1962,-0.5,50
68,2012,-0.5,50
69,2062,-0.5,50
70,2112,-0.5,50
71,2162,-0.5,50
72,2212,-0.5,50
73,2262,-0.5,50
74,2312,-0.5,50
75,2362,-0.5,50
76,2412,-0.5,50
77,2462,-0.5,50
78,2512,-0.5,50
79,2562,-0.5,50
80,2612,-0.5,50
81,2662,-0.5,50
82,2712,-0.5,50
83,2762,-0.5,50
84,2812,-0.5,50
85,2862,-0.5,50
86,2912,-0.5,50
87,2962,-0.5,50
88,3012,-0.5,50
89,3062,-0.5,50
90,3112,-0.5,50
91,3162,-0.5,50
92,3212,-0.5,50
93,3262,-0.5,50
94,3312,-0.5,50
95,3362,-0.5,50
96,3412,-0.5,50
97,3462,-0.5,50
98,3512,-0.5,50
99,3562,-0.5,50
100,3612,-0.5,50
101,3662,-0.5,50
102,3712,-0.5,50
103,3762,-0.5,50
104,3812,-0.5,50
105,3862,-0.5,50
106,3912,-0.5,50
107,3962,-0.5,50
108,4012,-0.5,50
109,4062,-0.5,50
110,4112,-0.5,50
111,4162,-0.5,50
112,4212,-0.5,50
113,4262,-0.5,50
114,4312,-0.5,50
115,4362,-0.5,50
116,4412,-0.5,50
117,4462,-0.5,50
118,4512,-0.5,50
119,4562,-0.5,50
120,4612,-0.5,50
121,4662,-0.5,50
122,4712,-0.5,50
123,4762,-0.5,50
124,4812,-0.5,50
125,4862,-0.5,50
126,4912,-0.5,50
127,4962,-0.5,50
128,5012,-0.5,50
129,5062,-0.5,50
130,5112,-0.5,50
131,5162,-0.5,50
132,5212,-0.5,50
133,5262,-0.5,50
134,5312,-0.5,50
135,5362,-0.5,50
136,5412,-0.5,50
137,5462,-0.5,50
138,5512,-0.5,50
139,5562,-0.5,50
140,5612,-0.5,50
141,5662,-0.5,50
142,5712,-0.5,50
143,5762,-0.5,50
144,5812,-0.5,50
145,5862,-0.5,50
146,5912,-0.5,50
147,5962,-0.5,50
148,6012,-0.5,50
149,6062,-0.5,50
150,6112,-0.5,50
151,6162,-0.5,50
152,6212,-0.5,50
153,6262,-0.5,50
154,6312,-0.5,50
155,6362,-0.5,50
156,6412,-0.5,50
157,6462,-0.5,50
158,6512,-0.5,50
159,6562,-0.5,50
160,6612,-0.5,50
161,6662,-0.5,50
162,6712,-0.5,50
163,6762,-0.5,50
164,6812,-0.5,50
165,6862,-0.5,50
166,6912,-0.5,50
167,6962,-0.5,50
168,7012,-0.5,50
169,7062,-0.5,50
170,7112,-0.5,50
171,7162,-0.5,50
172,7212,-0.5,50
173,7262,-0.5,50
174,7312,-0.5,50
175,7362,-0.5,50
176,7412,-0.5,50
177,7462,-0.5,50
178,7512,-0.5,50
179,7562,-0.5,50
180,7612,-0.5,50
181,7662,-0.5,50
182,7712,-0.5,50
183,7762,-0.5,50
184,7812,-0.5,50
185,7862,-0.5,50
186,7912,-0.5,50
187,7962,-0.5,50
188,8012,-0.5,50
189,8062,-0.5,50
190,8112,-0.5,50
191,8162,-0.5,50
192,8212,-0.5,50
193,8262,-0.5,50
194,8312,-0.5,50
195,8362,-0.5,50
196,8412,-0.5,50
197,8462,-0.5,50
198,8512,-0.5,50
199,8562,-0.5,50
200,8612,-0.5,50
201,8662,-0.5,50
202,8712,-0.5,50
203,8762,-0.5,50
204,8812,-0.5,50
205,8862,-0.5,50
206,8912,-0.5,50
207,8962,-0.5,50
208,9012,-0.5,50
209,9062,-0.5,50
210,9112,-0.5,50
211,9162,-0.5,50
212,9212,-0.5,50
213,9262,-0.5,50
214,9312,-0.5,50
215,9362,-0.5,50
216,9412,-0.5,50
217,9462,-0.5,50
218,9512,-0.5,50
219,9562,-0.5,50
220,9612,-0.5,50
221,9662,-0.5,50
222,9712,-0.5,50
223,9762,-0.5,50
224,9812,-0.5,50
225,9862,-0.5,50
226,9912,-0.5,50
227,9962,-0.5,50
228,10012,-0.5,50
229,10062,-0.5,50
230,10112,-0.5,50
231,10162,-0.5,50
232,10212,-0.5,50
233,10262,-0.5,50
234,10312,-0.5,50
235,10362,-0.5,50
236,10412,-0.5,50
237,10462,-0.5,50
238,10512,-0.5,50
239,10562,-0.5,50
240,10612,-0.5,50
241,10662,-0.5,50
242,10712,-0.5,50
243,10762,-0.5,50
244,10812,-0.5,50
245,10862,-0.5,50
246,10912,-0.5,50
247,10962,-0.5,50
248,11012,-0.5,50
249,11062,-0.5,50
250,11112,-0.5,50
251,11162,-0.5,50
252,11212,-0.5,50
253,11262,-0.5,50
254,11312,-0.5,50
255,11362,-0.5,50
256,11412,-0.5,50
257,11462,-0.5,50
258,11512,-0.5,50
259,11562,-0.5,50
260,11612,-0.5,50
261,11662,-0.5,50
262,11712,-0.5,50
263,11762,-0.5,50
264,11812,-0.5,50
265,11862,-0.5,50
266,11912,-0.5,50
267,11962,-0.5,50
268,12012,-0.5,50
269,12062,-0.5,50
270,12112,-0.5,50
271,12162,-0.5,50
272,12212,-0.5,50
273,12262,-0.5,50
274,12312,-0.5,50
275,12362,-0.5,50
276,12412,-0.5,50
277,12462,-0.5,50
278,12512,-0.5,50
279,12562,-0.5,50
280,12612,-0.5,50
281,12662,-0.5,50
282,12712,-0.5,50
283,12762,-0.5,50
284,12812,-0.5,50
285,12862,-0.5,50
286,12912,-0.5,50
287,12962,-0.5,50
288,13012,-0.5,50
289,13062,-0.5,50
290,13112,-0.5,50
291,13162,-0.5,50
292,13212,-0.5,50
293,13262,-0.5,50
294,13312,-0.5,50
295,13362,-0.5,50
296,13412,-0.5,50
297,13462,-0.5,50
298,13512,-0.5,50
299,13562,-0.5,50
300,13612,-0.5,50
301,13662,-0.5,50
302,13712,-0.5,50
303,13762,-0.5,50
304,13812,-0.5,50
305,13862,-0.5,50
306,13912,-0.5,50
307,13962,-0.5,50
308,14012,-0.5,50
309,14062,-0.5,50
310,14112,-0.5,50
311,14162,-0.5,50
312,14212,-0.5,50
313,14262,-0.5,50
314,14312,-0.5,50
315,14362,-0.5,50
316,14412,-0.5,50
317,14462,-0.5,50
318,14512,-0.5,50
319,14562,-0.5,50
320,14612,-0.5,50
321,14662,-0.5,50
322,14712,-0.5,50
323,14762,-0.5,50
324,14812,-0.5,50
325,14862,-0.5,50
326,14912,-0.5,50
327,14962,-0.5,50
328,15012,-0.5,50
329,15062,-0.5,50
330,15112,-0.5,50
331,15162,-0.5,50
332,15212,-0.5,50
333,15262,-0.5,50
334,15312,-0.5,50
335,15362,-0.5,50
336,15412,-0.5,50
337,15462,-0.5,50
338,15512,-0.5,50
339,15562,-0.5,50
340,15612,-0.5,50
341,15662,-0.5,50
342,15712,-0.5,50
343,15762,-0.5,50
344,15812,-0.5,50
345,15862,-0.5,50
346,15912,-0.5,50
347,15962,-0.5,50
348,16012,-0.5,50
349,16062,-0.5,50
350,16112,-0.5,50
351,16162,-0.5,50
352,16212,-0.5,50
353,16262,-0.5,50
354,16312,-0.5,50
355,16362,-0.5,50
356,16412,-0.5,50
357,16462,-0.5,50
358,16512,-0.5,50
359,16562,-0.5,50
360,16612,-0.5,50
361,16662,-0.5,50
362,16712,-0.5,50
363,16762,-0.5,50
364,16812,-0.5,50
365,16862,-0.5,50
366,16912,-0.5,50
367,16962,-0.5,50
368,17012,-0.5,50
369,17062,-0.5,50
370,17112,-0.5,50
371,17162,-0.5,50
372,17212,-0.5,50
373,17262,-0.5,50
374,17312,-0.5,50
375,17362,-0.5,50
376,17412,-0.5,50
377,17462,-0.5,50
378,17512,-0.5,50
379,17562,-0.5,50
380,17612,-0.5,50
381,17662,-0.5,50
382,17712,-0.5,50
383,17762,-0.5,50
384,17812,-0.5,50
385,17862,-0.5,50
386,17912,-0.5,50
387,17962,-0.5,50
388,18012,-0.5,50
389,18062,-0.5,50
390,18112,-0.5,50
391,18162,-0.5,50
392,18212,-0.5,50
393,18262,-0.5,50
394,18312,-0.5,50
395,18362,-0.5,50
396,18412,-0.5,50
397,18462,-0.5,50
398,18512,-0.5,50
399,18562,-0.5,50
400,18612,-0.5,50
401,18662,-0.5,50
402,18712,-0.5,50
403,18762,-0.5,50
404,18812,-0.5,50
405,18862,-0.5,50
406,18912,-0.5,50
407,18962,-0.5,50
408,19012,-0.5,50
409,19062,-0.5,50
410,19112,-0.5,50
411,19162,-0.5,50
412,19212,-0.5,50
413,19262,-0.5,50
414,19312,-0.5,50
415,19362,-0.5,50
416,19412,-0.5,50
417,19462,-0.5,50
418,19512,-0.5,50
419,19562,-0.5,50
420,19612,-0.5,50
421,19662,-0.5,50
422,19712,-0.5,50
423,19762,-0.5,50
424,19812,-0.5,50
425,19862,-0.5,50
426,19912,-0.5,50
427,19962,-0.5,50
428,20012,-0.5,50
429,20062,-0.5,50
430,20112,-0.5,50
431,20162,-0.5,50
432,20212,-0.5,50
433,20262,-0.5,50
434,20312,-0.5,50
435,20362,-0.5,50
436,20412,-0.5,50
437,20462,-0.5,50
438,20512,-0.5,50
439,20562,-0.5,50
440,20612,-0.5,50
441,20662,-0.5,50
442,20712,-0.5,50
443,20762,-0.5,50
444,20812,-0.5,50
445,20862,-0.5,50
446,20912,-0.5,50
447,20962,-0.5,50
448,21012,-0.5,50
449,21062,-0.5,50
450,21112,-0.5,50
451,21162,-0.5,50
452,21212,-0.5,50
453,21262,-0.5,50
454,21312,-0.5,50
455,21362,-0.5,50
456,21412,-0.5,50
457,21462,-0.5,50
458,21512,-0.5,50
459,21562,-0.5,50
460,21612,-0.5,50
461,21662,-0.5,50
462,21712,-0.5,50
463,21762,-0.5,50
464,21812,-0.5,50
465,21862,-0.5,50
466,21912,-0.5,50
467,21962,-0.5,50
468,22012,-0.5,50
469,22062,-0.5,50
470,22112,-0.5,50
471,22162,-0.5,50
472,22212,-0.5,50
473,22262,-0.5,50
474,22312,-0.5,50
475,22362,-0.5,50
476,22412,-0.5,50
477,22462,-0.5,50
478,22512,-0.5,50
479,22562,-0.5,50
480,22612,-0.5,50
481,22662,-0.5,50
482,22712,-0.5,50
483,22762,-0.5,50
484,22812,-0.5,50
485,22862,-0.5,50
486,22912,-0.5,50
487,22962,-0.5,50
488,23012,-0.5,50
489,23062,-0.5,50
490,23112,-0.5,50
491,23162,-0.5,50
492,23212,-0.5,50
493,23262,-0.5,50
494,23312,-0.5,50
495,23362,-0.5,50
496,23412,-0.5,50
497,23462,-0.5,50
498,23512,-0.5,50
499,23562,-0.5,50
500,23612,-0.5,50
501,23662,-0.5,50
502,23712,-0.5,50
503,23762,-0.5,50
504,23812,-0.5,50
505,23862,-0.5,50
506,23912,-0.5,50
507,23962,-0.5,50
508,24012,-0.5,50
509,24062,-0.5,50
510,24112,-0.5,50
511,24162,-0.5,50
512,24212,-0.5,50
513,24262,-0.5,50
514,24312,-0.5,50
515,24362,-0.5,50
516,24412,-0.5,50
517,24462,-0.5,50
518,24512,-0.5,50
519,24562,-0.5,50
520,24612,-0.5,50
521,24662,-0.5,50
522,24712,-0.5,50
523,24762,-0.5,50
524,24812,-0.5,50
525,24862,-0.5,50
526,24912,-0.5,50
527,24962,-0.5,50
528,25012,-0.5,50
529,25062,-0.5,50
530,25112,-0.5,50
531,25162,-0.5,50
532,25212,-0.5,50
533,25262,-0.5,50
534,25312,-0.5,50
535,25362,-0.5,50
536,25412,-0.5,50
537,25462,-0.5,50
538,25512,-0.5,50
539,25562,-0.5,50
540,25612,-0.5,50
541,25662,-0.5,50
542,25712,-0.5,50
543,25762,-0.5,50
544,25812,-0.5,50
545,25862,-0.5,50
546,25912,-0.5,50
547,25962,-0.5,50
548,26012,-0.5,50
549,26062,-0.5,50
550,26112,-0.5,50
551,26162,-0.5,50
552,26212,-0.5,50
553,26262,-0.5,50
554,26312,-0.5,50
555,26362,-0.5,50
556,26412,-0.5,50
557,26462,-0.5,50
558,26512,-0.5,50
559,26562,-0.5,50
560,26612,-0.5,50
561,26662,-0.5,50
562,26712,-0.5,50
563,26762,-0.5,50
564,26812,-0.5,50
565,26862,-0.5,50
566,26912,-0.5,50
567,26962,-0.5,50
568,27012,-0.5,50
569,27062,-0.5,50
570,27112,-0.5,50
571,27162,-0.5,50
572,27212,-0.5,50
573,27262,-0.5,50
574,27312,-0.5,50
575,27362,-0.5,50
